icao,name,manufacturer,type,wtc,recat_eu,mtow_kg,cruise_tas_kt,cruise_mach,cruise_range_nm,cruise_ceiling_fl,wing_span_m,length_m,height_m,pax,crew,seats_typical,seats_max
AT45,ALENIA ATR-42-500,ATR,L2T,M,Lower Medium,18600,300,NA,1000,260,24.6,22.7,7.6,52,NA,NA,NA
AT72,ALENIA ATR-72,ATR,L2T,M,Lower Medium,21500,275,NA,1500,250,27.1,27.2,7.7,74,NA,NA,NA
AT75,ATR-72-500,ATR,L2T,M,Lower Medium,23000,280,NA,825,250,27.05,27.17,7.65,80,NA,NA,NA
ATLA,1150 Atlantic,BREGUET,L2T,M,Upper Medium,43500,275,NA,2200,320,36.3,31.7,11.3,12,NA,NA,NA
ATP,ATP,BRITISH AEROSPACE,L2T,M,Lower Medium,22930,266,NA,1000,250,30.6,26,7.6,72,NA,NA,NA
B06,Bell JetRanger,Bell Aircraft Corporation (United States),H1T,L,Light,1451,120,NA,374,135,10.16,12.11,2.83,5,NA,NA,NA
B190,1900 (C-12J),RAYTHEON,L2T,M,Light,7690,270,NA,1500,250,17.7,17.6,4.7,20,NA,NA,NA
B350,B300 Super King Air 350,HAWKER BEECHCRAFT,L2T,L,Light,6800,300,0.47,1800,350,17.7,14.2,4.4,15,NA,NA,NA
B38M,BOEING 737 MAX 8,BOEING,L2J,M,Upper Medium,82600,453,0.79,3550,410,35.9,39.52,12.29,212,NA,NA,NA
B39M,BOEING 737 MAX 9,BOEING,L2J,M,Upper Medium,88300,453,0.79,3550,410,35.9,42.16,12.29,222,NA,NA,NA
B412,Agusta-Bell 412 Grifone,BELL,H2T,L,Light,5397,125,NA,402,200,14,17.1,4.6,14,NA,NA,NA
B463,BAe-146-300,BRITISH AEROSPACE,L4J,M,Lower Medium,46000,380,0.65,1100,310,26.34,31,8.61,130,NA,NA,NA
B703,707-300,BOEING,L4J,H,Lower Heavy,150800,470,0.8,5000,390,44.4,46.6,12.9,223,NA,NA,NA
B712,717-200,BOEING,L2J,M,Lower Medium,54885,435,0.76,2060,370,28.5,37.8,8.9,NA,NA,NA,NA
B722,727-200,BOEING,L3J,M,Upper Medium,95300,450,0.8,2500,400,32.9,46.7,10.4,192,NA,NA,NA
B732,737-200,BOEING,L2J,M,Lower Medium,52390,400,0.72,1200,370,28.3,30.5,11.3,132,NA,NA,NA
B733,737-300,BOEING,L2J,M,Lower Medium,56470,429,0.74,1600,370,28.9,33.4,11.1,151,NA,NA,NA
B734,737-400,BOEING,L2J,M,Lower Medium,62820,430,0.74,2100,370,28.9,36.4,11.1,170,NA,NA,NA
B735,737-500,BOEING,L2J,M,Lower Medium,52390,430,0.74,1600,370,28.9,31,11.1,140,NA,NA,NA
B736,737-600,BOEING,L2J,M,Upper Medium,56240,460,0.78,3200,410,34.3,31.2,12.6,134,NA,NA,NA
B737,737-700,BOEING,L2J,M,Upper Medium,66320,460,0.78,2500,410,34.3,33.6,12.6,151,NA,NA,NA
B738,737-800,BOEING,L2J,M,Upper Medium,70530,460,0.79,2000,410,34.3,39.2,12.6,164,NA,NA,NA
B739,737-900,BOEING,L2J,M,Upper Medium,79015,460,0.78,2745,410,34.3,42.1,12.5,191,NA,NA,NA
B742,747-200,BOEING,L4J,H,Upper Heavy,374850,495,0.83,6857,450,59.6,70.7,19.3,455,NA,NA,NA
B743,747-300,BOEING,L4J,H,Upper Heavy,374850,510,0.84,6695,450,59.6,70.6,19.3,499,NA,NA,NA
B744,747-400,BOEING,L4J,H,Upper Heavy,396890,510,0.85,7260,450,64.8,70.6,19.4,526,NA,NA,NA
B748,Boeing 747-8,BOEING,L4J,H,Upper Heavy,442250,510,0.86,4390,430,68.5,76.3,19.4,469,NA,NA,NA
B752,757-200,BOEING,L2J,M,Lower Heavy,115680,470,0.8,3900,420,38.1,47.3,13.6,230,NA,NA,NA
B753,757-300,BOEING,L2J,M,Lower Heavy,123600,490,0.8,3395,410,38.1,54.5,13.6,282,NA,NA,NA
B762,767-200ER,BOEING,L2J,H,Lower Heavy,179170,470,0.8,6600,450,47.6,48.5,15.9,257,NA,NA,NA
B763,767-300ER,BOEING,L2J,H,Lower Heavy,186880,460,0.8,6105,450,47.6,54.9,15.9,353,NA,NA,NA
B764,767-400,BOEING,L2J,H,Lower Heavy,204120,460,0.8,5645,450,51.9,61.4,16.8,377,NA,NA,NA
B772,BOEING 777-200,BOEING,L2J,H,Upper Heavy,247210,480,0.84,5210,430,60.9,63.7,18.4,442,NA,NA,NA
B773,BOEING 777-300,BOEING,L2J,H,Upper Heavy,299370,490,0.84,5955,430,60.9,73.9,18.5,552,NA,NA,NA
B77L,Boeing 777-200LR,BOEING,L2J,H,Upper Heavy,347500,490,0.84,9380,431,64.8,63.7,18.6,442,NA,NA,NA
B77W,BOEING 777-300ER,BOEING,L2J,H,Upper Heavy,351500,490,0.84,7930,430,64.8,73.9,18.5,367,NA,NA,NA
B788,787-8 Dreamliner,BOEING,L2J,H,Upper Heavy,228000,470,0.85,8000,430,52,56.7,16.9,252,NA,NA,NA
B789,787-9 Dreamliner,BOEING,L2J,H,Upper Heavy,254011,490,0.85,7565,430,60.12,62.8,16.9,422,NA,NA,NA
B78X,787-10 Dreamliner,BOEING,L2J,H,Upper Heavy,254011,488,0.86,6430,410,60.12,68.3,16.9,442,NA,NA,NA
BCS1,Airbus A220-100,AIRBUS,L2J,M,Lower Medium,63100,445,0.78,3400,410,35.1,35,11.5,137,NA,NA,NA
BCS3,AIRBUS A-220-300,AIRBUS,L2J,M,Lower Medium,69900,445,0.78,3350,410,35.1,38.7,11.5,162,NA,NA,NA
BE10,100 King Air,BEECH,L2T,L,Light,5350,220,NA,1200,260,14,12.2,4.7,14,NA,NA,NA
BE20,King Air 200,HAWKER BEECHCRAFT,L2T,L,Light,5670,260,0.48,1600,350,16.6,13.4,4.5,16,NA,NA,NA
BE33,"33 Debonair,Bonanza (E-24)",BEECH,L1P,L,Light,1390,160,NA,700,170,10.2,7.8,2.5,4,NA,NA,NA
BE36,36 Bonanza (piston),HAWKER BEECHCRAFT,L1P,L,Light,1650,160,NA,850,180,8.4,8.1,2.6,7,NA,NA,NA
BE40,Beechjet 400,HAWKER BEECHCRAFT,L2J,M,Light,7300,420,0.8,1500,450,13.3,14.8,4.2,10,NA,NA,NA
BE50,50 Twin Bonanza,BEECH,L2P,L,Light,2860,160,NA,600,200,14,9.6,3.5,7,NA,NA,NA
BE55,55 Baron,BEECH,L2P,L,Light,2300,180,NA,900,200,11.5,8.5,2.9,5,NA,NA,NA
BE58,58 Baron,HAWKER BEECHCRAFT,L2P,L,Light,2500,175,NA,1000,200,11.5,9.1,2.97,6,NA,NA,NA
BE60,60 Duke,BEECH,L2P,L,Light,3070,220,NA,1000,300,12,10.3,3.8,7,NA,NA,NA
BE76,76 Duchess,BEECH,L2P,L,Light,1770,140,NA,750,200,11.6,8.9,2.9,4,NA,NA,NA
BE95,Beech 95 Travel Air,Beech Aircraft Corporation (United States),L2P,L,Light,1905,170,NA,1010,180,11.5,7.9,2.9,5,NA,NA,NA
BE9L,King Air 90,HAWKER BEECHCRAFT,L2T,L,Light,4581,220,0.39,1150,290,15.3,10.8,4.3,5,NA,NA,NA
BN2T,"BN-2T Turbine Islander, Turbine Defender",PILATUS BRITTEN-NORMAN,L2T,L,Light,3175,145,NA,830,230,15,10.9,4.2,9,NA,NA,NA
C06T,206 (turbine),CESSNA,L1T,L,Light,1632,150,NA,630,200,10.97,8.61,2.83,6,NA,NA,NA
C130,HERCULES,LOCKHEED,L4T,M,Upper Medium,70310,290,0.57,2700,300,40.4,29.8,11.8,94,NA,NA,NA
C135,C-135 Stratolifter,BOEING,L4J,H,Lower Heavy,146290,450,0.77,3000,410,39.9,51.5,12.7,2,NA,NA,NA
C152,"152,A152,Aerobat",CESSNA,L1P,L,Light,760,100,NA,315,147,10.2,7.3,2.6,2,NA,NA,NA
C17,C-17 Globemaster 3,BOEING,L4J,H,Lower Heavy,265350,460,0.76,5000,450,51.8,53,16.8,107,NA,NA,NA
C172,172 Skyhawk,CESSNA,L1P,L,Light,1050,115,NA,430,130,10.9,8.2,2.7,4,NA,NA,NA
C177,"177,Cardinal",CESSNA,L1P,L,Light,1070,115,NA,590,120,10.8,8.2,2.8,4,NA,NA,NA
C182,"182,Skylane",CESSNA,L1P,L,Light,1270,140,NA,550,180,11,8.6,2.8,4,NA,NA,NA
C2,C-2 Greyhound,GRUMMAN,L2T,M,Lower Medium,24687,240,NA,1200,280,24.6,17.6,5.6,41,NA,NA,NA
C206,206 (CESSNA),CESSNA,L1P,L,Light,1650,140,NA,560,170,10.9,8.6,3,6,NA,NA,NA
C208,"208 Caravan 1,(Super)Cargomaster",CESSNA,L1T,L,Light,3629,160,NA,1000,260,15.9,11.5,4.3,15,NA,NA,NA
C210,210 Centurion,CESSNA,L1P,L,Light,1820,170,NA,800,270,11.2,8.6,3,4,NA,NA,NA
C212,Aviocar,CASA,L2T,M,Light,7700,170,NA,1400,200,20.3,16.2,6.6,28,NA,NA,NA
C25A,525A Citation CJ2,CESSNA,L2J,L,Light,5670,418,0.64,1781,410,15.19,14.53,4.27,10,NA,NA,NA
C25B,525B Citation CJ3,CESSNA,L2J,L,Light,6291,415,0.73,2040,450,16.26,15.59,4.2,9,NA,NA,NA
C25C,525C Citation CJ4,CESSNA,L2J,M,Light,7761,450,0.74,1920,450,15.49,16.26,4.2,10,NA,NA,NA
C25M,525 Citation M2,CESSNA,L2J,L,Light,4853,400,0.69,1300,410,14.39,12.98,4.2,8,NA,NA,NA
C303,AVIONES COLOMBIA T303,CESSNA,L2P,L,Light,2340,180,NA,800,250,11.9,9.3,4.1,6,NA,NA,NA
C30J,C-130J Hercules,LOCKHEED MARTIN,L4T,M,Upper Medium,70300,330,0.58,2835,330,40.4,29.8,11.84,NA,NA,NA,NA
C310,"310,T310 (U-3,L-27)",CESSNA,L2P,L,Light,2494,175,NA,500,200,11.3,9.7,3.3,6,NA,NA,NA
C337,"337,M337,MC337,T337B/C/D/E/F/H",CESSNA,L2P,L,Light,2100,165,NA,920,195,11.6,9.1,2.8,6,NA,NA,NA
C340,340 (CESSNA),CESSNA,L2P,L,Light,2710,210,NA,1200,265,11.6,10.5,3.8,6,NA,NA,NA
C402,"401,402,Utililiner,Businessliner",CESSNA,L2P,L,Light,2860,230,NA,500,270,13.5,11.1,3.6,NA,NA,NA,NA
C404,404 Titan,CESSNA,L2P,L,Light,3830,220,NA,550,260,15.1,11.9,4,10,NA,NA,NA
C414,"414,Chancellor",CESSNA,L2P,L,Light,3060,230,NA,1100,310,12.5,10.3,3.6,7,NA,NA,NA
C421,"421,Executive Commuter",CESSNA,L2P,L,Light,3100,200,NA,1000,310,12.2,10.3,3.6,7,NA,NA,NA
C425,"425 Corsair,Conquest 1",CESSNA,L2T,L,Light,3900,240,NA,1250,310,13.5,10.9,3.9,7,NA,NA,NA
C441,"441 Conquest,Conquest 2",CESSNA,L2T,L,Light,4470,280,NA,1200,310,15,11.9,4,10,NA,NA,NA
C525,"525 CitationJet, Citation CJ1",CESSNA,L2J,L,Light,4717,370,0.63,1485,410,14.3,13,4.2,6,NA,NA,NA
C550,550 Citation 2,CESSNA,L2J,L,Light,6850,360,0.63,1900,430,15.9,14.4,4.6,12,NA,NA,NA
C560,560 Citation 5 Ultra Encore,CESSNA,L2J,M,Light,7210,430,0.73,2000,450,13.8,14.9,4.2,10,NA,NA,NA
C56X,560XL Citation Excel,CESSNA,L2J,M,Light,8709,430,0.73,2000,450,17,15.8,5.2,11,NA,NA,NA
C650,650 Citation 3/6/7,CESSNA,L2J,M,Light,14060,470,0.8,2200,510,16.31,16.9,5.11,11,NA,NA,NA
C680,Citation Sovereign,CESSNA,L2J,M,Light,13743,460,0.79,2800,470,19.24,19.37,6.2,14,NA,NA,NA
C750,750 Citation 10,CESSNA,L2J,M,Lower Medium,16193,550,0.9,3250,510,19.5,22,5.8,14,NA,NA,NA
C82R,AVIONES COLOMBIA R182,CESSNA,L1P,L,Light,1340,140,NA,800,180,10.9,8.5,2.8,4,NA,NA,NA
CL2T,CANADAIR CL-415 SuperScooper,CANADAIR,A2T,M,Lower Medium,19890,180,NA,1000,180,28.63,19.82,8.98,34,NA,NA,NA
CL30,BD-100 Challenger 300,Bombardier Aerospace (Canada),L2J,M,Lower Medium,17622,470,0.81,3065,450,18.4,20.9,6.1,12,NA,NA,NA
CL35,BD-100 Challenger 350,Bombardier Aerospace (Canada),L2J,M,Lower Medium,18416,455,0.8,3200,450,21,20.9,6.1,11,NA,NA,NA
CL60,Canadair Challenger,CANADAIR,L2J,M,Lower Medium,19550,460,0.75,3350,410,19.6,20.85,6.3,21,NA,NA,NA
CN35,AIRTECH CN-235 MP Persuader,AIRTECH (2),L2T,M,Lower Medium,15100,210,NA,2500,265,25.8,21.4,8.2,47,NA,NA,NA
CRJ1,CANADAIR RJ-100 Regional Jet,CANADAIR,L2J,M,Lower Medium,21500,420,0.75,1800,410,21.21,26.8,6.3,52,NA,NA,NA
CRJ2,CANADAIR RJ-200 Regional Jet,CANADAIR,L2J,M,Lower Medium,21523,420,0.74,1000,410,21.21,26.8,6.3,52,NA,NA,NA
CRJ7,CANADAIR RJ-700 Regional Jet,CANADAIR,L2J,M,Lower Medium,33000,442,0.77,1687,410,23.24,32.51,7.57,72,NA,NA,NA
CRJ9,CRJ Series CRJ900,Bombardier Aerospace (Canada),L2J,M,Lower Medium,38330,450,0.78,1550,410,24.9,36.2,7.5,92,NA,NA,NA
CRJX,CRJ 1000,Bombardier Aerospace (Canada),L2J,M,Lower Medium,40824,440,0.78,1345,410,26.18,39.13,7.5,106,NA,NA,NA
D228,228 (DORNIER),FAIRCHILD-DORNIER,L2T,L,Light,6400,210,NA,1000,280,16.97,16.56,4.86,21,NA,NA,NA
D328,328 (DORNIER),FAIRCHILD-DORNIER,L2T,M,Light,13990,310,0.54,1000,310,20.98,21.11,7.24,41,NA,NA,NA
DA40,Diamond,Diamond Aircraft Industries (Canada/Austria),L1P,L,Light,1200,130,0,830,160,11.63,8.06,1.97,4,NA,NA,NA
DA42,Diamond Twinstar,Diamond Aircraft Industries (Canada/Austria),L2P,L,Light,1650,180,0,1061,180,13.42,8.56,2.49,4,NA,NA,NA
DA50,SuperStar/Magnum,Diamond Aircraft Industries (Canada/Austria),L2P,L,Light,1200,180,NA,1000,200,11.7,8.8,2.2,5,NA,NA,NA
DH8A,CC-142,DE HAVILLAND CANADA,L2T,M,Lower Medium,15650,250,NA,1000,250,25.9,22.3,7.5,39,NA,NA,NA
DH8C,Dash 8 Q300,BOMBARDIER,L2T,M,Lower Medium,18642,250,NA,1000,250,27.4,25.7,7.5,52,NA,NA,NA
DH8D,Dash 8 Q400,BOMBARDIER,L2T,M,Lower Medium,28998,360,NA,1300,250,28.4,32.8,8.3,80,NA,NA,NA
DHC6,CC-138,DE HAVILLAND CANADA,L2T,L,Light,5670,160,NA,900,260,19.8,15.1,5.9,21,NA,NA,NA
DR40,Cadet,ROBIN,L1P,L,Light,1100,140,NA,450,150,8.7,7,2.2,5,NA,NA,NA
E120,Brasilia,EMBRAER,L2T,M,Light,12000,290,0.45,1600,290,19.8,20,6.4,32,NA,NA,NA
E121,EC-9,EMBRAER,L2T,L,Light,5670,235,NA,900,260,14.5,12.3,4.7,9,NA,NA,NA
E135,EMBRAER ERJ-135,EMBRAER,L2J,M,Lower Medium,19990,320,0.76,1200,370,20.2,26.3,6.7,37,NA,NA,NA
E145,EMB-145,EMBRAER,L2J,M,Lower Medium,21198,440,0.76,1200,370,20.2,29.8,6.7,51,NA,NA,NA
E170,Embraer 170,EMBRAER,L2J,M,Lower Medium,35995,460,0.78,2100,410,26,29.9,9.85,82,NA,NA,NA
E190,Embraer 190,EMBRAER,L2J,M,Lower Medium,45995,460,0.78,2400,410,28.7,36.2,10.6,116,NA,NA,NA
E195,Embraer 195,EMBRAER,L2J,M,Lower Medium,52290,447,0.78,2300,410,28.7,38.65,10.55,126,NA,NA,NA
E2,Daya,GRUMMAN,L2T,M,Lower Medium,23850,290,NA,1500,370,24.6,17.6,5.6,5,NA,NA,NA
E3CF,E-3D Sentry,BOEING,L4J,H,Lower Heavy,151955,420,0.73,5000,430,44.4,46.6,12.6,23,NA,NA,NA
E3TF,E-3 Sentry,BOEING,L4J,H,Lower Heavy,156000,420,0.74,4000,290,44.4,46.6,12.7,23,NA,NA,NA
E50P,Embraer 500 Phenom 100,EMBRAER,L2J,L,Light,4750,370,0.7,1200,410,12.3,12.8,4.4,7,NA,NA,NA
E55P,Embraer 505 Phenom 300,EMBRAER,L2J,M,Light,7951,450,0.77,1970,450,16.2,15.9,5,10,NA,NA,NA
EC35,EUROCOPTER EC-135,EUROCOPTER,H2T,L,Light,2950,135,NA,340,200,10.2,12.16,3.51,8,NA,NA,NA
EH10,AW101 Merlin,AgustaWestland,L3T,M,Light,15600,150,NA,570,150,18.6,22.83,6.66,32,NA,NA,NA
EUFI,Eurofighter Typhoon,EUROFIGHTER,L2J,M,Lower Medium,23500,480,0.86,1000,650,10.95,15.96,5.28,2,NA,NA,NA
F100,100 (FOKKER),FOKKER,L2J,M,Lower Medium,43390,405,0.73,3100,350,28.1,35.5,8.5,124,NA,NA,NA
F16,F-16 Fighting Falcon,LOCKHEED,L1J,M,Light,14970,480,0.86,2000,500,10,15,5.1,2,NA,NA,NA
F18,F-18 Hornet,BOEING,L2J,M,Lower Medium,25400,495,0.86,1700,500,12.3,17.1,4.7,2,NA,NA,NA
F2TH,DASSAULT Falcon 2000,DASSAULT,L2J,M,Lower Medium,16240,470,0.82,3000,470,19.3,20.2,7.1,21,NA,NA,NA
F35,F-35 Lightning II,Lockheed Martin Corporation (United States),L1J,M,Lower Medium,31751,520,0.86,1500,500,11,15.7,4.4,1,NA,NA,NA
F4,F-4 Phantom 2,MCDONNELL DOUGLAS,L2J,M,Lower Medium,28000,480,0.86,1200,590,11.7,17.8,5.1,2,NA,NA,NA
F406,Caravan 2,REIMS,L2T,L,Light,4200,240,NA,1000,300,15.1,11.9,4,9,NA,NA,NA
F5,A-9,NORTHROP,L2J,M,Light,11187,480,0.86,1300,510,8.1,14.5,4.1,2,NA,NA,NA
F50,"FOKKER 50,Maritime Enforcer",FOKKER,L2T,M,Lower Medium,20820,240,NA,1900,250,29,25.2,8.3,60,NA,NA,NA
F900,DASSAULT-BREGUET Falcon 900,DASSAULT,L3J,M,Lower Medium,21200,510,0.85,4500,510,19.3,20.2,7.6,20,NA,NA,NA
FA10,Falcon 10/100,DASSAULT,L2J,M,Light,8500,490,0.83,1900,420,13.08,13.86,4.61,10,NA,NA,NA
FA20,DASSAULT-BREGUET Falcon 20/200,DASSAULT,L2J,M,Light,13160,420,0.76,2300,420,16.3,17.2,5.3,10,NA,NA,NA
FA50,DASSAULT-BREGUET T-16,DASSAULT,L3J,M,Lower Medium,18500,480,0.82,3500,490,18.86,18.52,6.97,14,NA,NA,NA
FA7X,Falcon 7X,DASSAULT,L3J,M,Lower Medium,31298,580,0.9,5950,510,26.21,23.19,7.8,21,NA,NA,NA
G150,Gulfstream 150,Gulfstream Aerospace Corporation (United States),L2J,M,Light,11839,460,0.8,3000,450,16.94,17.3,5.82,10,NA,NA,NA
G280,Gulfstream G280,Gulfstream Aerospace Corporation (United States),L2J,M,No code,17962,472,0.83,3600,450,19.2,20.37,6.5,12,NA,NA,NA
GALX,Gulfstream G200,Israel Aerospace Industries (IAI),L2J,M,Lower Medium,15808,470,0.81,3300,450,17.7,19,6.5,20,NA,NA,NA
GL5T,BD-700 Global 5000,Bombardier Aerospace (Canada),L2J,M,Lower Medium,41957,485,0.85,5200,510,28.65,29.5,7.7,21,NA,NA,NA
GLEX,Global Express,BOMBARDIER,L2J,M,Lower Medium,44500,490,0.85,6300,510,28.6,30.3,7.6,20,NA,NA,NA
GLF3,G-1159A Gulfstream 3,GULFSTREAM AEROSPACE,L2J,M,Lower Medium,31620,450,0.81,4300,450,23.7,25.3,7.5,23,NA,NA,NA
GLF4,Gulfstream 4,GULFSTREAM AEROSPACE,L2J,M,Lower Medium,33200,450,0.8,4600,450,23.7,26.9,7.4,28,NA,NA,NA
GLF5,Gulfstream 5,GULFSTREAM AEROSPACE,L2J,M,Lower Medium,41136,480,0.85,5800,510,28.5,29.4,7.9,21,NA,NA,NA
H25B,Hawker 750 / 850 / 900,HAWKER BEECHCRAFT,L2J,M,Light,12700,400,0.75,2190,410,16.6,15.6,5.5,16,NA,NA,NA
H25C,BAe-125-1000,RAYTHEON,L2J,M,Light,14060,450,0.76,3100,430,15.7,16.4,5.2,17,NA,NA,NA
H47,Chinook CH-47F,Boeing Helicopters (United States),H2T,M,Lower Medium,22668,130,NA,329,200,18.29,15.9,5.7,58,NA,NA,NA
H60,Sikorsky S-70A,Sikorsky Aircraft Division of United Aircraft Corporation (United States),H2T,M,Light,10660,150,NA,1200,190,16.36,19.76,5.13,15,NA,NA,NA
H64,AH-64 Apache Longbow,Boeing Helicopters (United States),H2T,M,Light,10433,145,NA,257,210,14.63,17.73,3.87,NA,NA,NA,NA
HAWK,T-45 Goshawk,BRITISH AEROSPACE,L1J,M,Light,5100,420,0.75,1300,500,9.4,11.9,4,2,NA,NA,NA
HDJT,HA-420 HondaJet,HONDA,L2J,L,Light,4519,410,0.72,1547,430,12.15,12.71,4.03,6,NA,NA,NA
IL18,Il-18/20/22/24,ILYUSHIN,L4T,M,Upper Medium,64000,350,0.61,3500,380,37.4,35.9,10.2,NA,NA,NA,NA
IL62,Il-62,ILYUSHIN,L4J,H,Lower Heavy,165000,460,0.82,5200,390,43.2,53.1,12.4,200,NA,NA,NA
IL76,Candid,ILYUSHIN,L4J,H,Lower Heavy,170000,430,0.74,2500,390,50.5,46.6,14.8,7,NA,NA,NA
IL96,Il-96,ILYUSHIN,L4J,H,Upper Heavy,250000,470,0.83,6900,390,60.11,55.3,17.5,377,NA,NA,NA
J328,328JET,FAIRCHILD-DORNIER,L2J,M,Lower Medium,15660,350,0.66,2000,350,20.98,21.3,7.2,34,NA,NA,NA
JS32,Jetstream 32,BAE SYSTEMS,L2T,M,Light,7360,235,NA,850,250,15.85,14.36,5.38,21,NA,NA,NA
JS41,Jetstream 41,BAE SYSTEMS,L2T,M,Light,10886,290,NA,1000,260,18.42,19.33,5.61,31,NA,NA,NA
K35R,KC-135 Stratotanker,BOEING,L4J,H,Lower Heavy,146285,440,0.85,7500,500,39.9,41.5,12.7,4,NA,NA,NA
